DNA1,MART1,CD207,SOX10,GZMB,CD163,CD1c,KRT14,CD3e,CD11c,CD8a,aSMA,CD20,CD68,PDL1,MITF,FOXP3,PD1,panCK,CD16,CD206,CD31,Vim,S100A,LAG3,CD56,pS6,HLA-A/B,SOX9,HLA-DPB1,PCNA,CD14,CD66b,pH3,LMNB2,Nestin,H3K27Me3,PRAME,TIGIT,TIM3,CD57,cPARP,DNA13,CD4,Ki67_2,IRF1,imageid,ROI_major_category,phenotype
5538.282,567.7154,372.99112,620.2274,886.9441,512.69885,2616.7344,521.0102,571.7357,494.18298,742.1906,179.97331,732.52606,239.57433,921.90594,1622.3342,194.31512,1412.479,1593.0508,870.0356,91.679794,319.493,109.89708,182.44727,413.19186,401.97333,220,842.3202,224.55147,197.05464,147.1906,354.0508,307.1042,108.60483,2068.3684,437.41168,2368.4092,888.4079,179.97205,662.60486,1065.6404,288.3291,1206.5743,402.46634,86.76366,274.73697,A,RGP,non_tumor
8798.714,353.08878,387.68845,348.1474,634.2345,635.4539,24463.582,90.49078,655.15576,2053.97,853.5846,244.75041,604.6348,248.68175,894.3886,923.84424,198.75377,1195.8475,175.43048,711.70856,3142.273,493.56448,6491.4604,1191.8057,422.1876,908.8476,88.303185,1122.6516,302.9615,1798.6115,116.81742,402.5511,275.50586,109.12228,4294.8374,470.72195,1873.1122,767.2831,192.75041,1879.9397,821.70856,237.0536,627.0821,1520.6549,78.053604,283.8526,A,MIS,non_tumor
7299.4336,699.8517,295.8453,488.3812,736.9633,779.4912,2110.823,70.53269,1783.7943,3686.6443,861.57574,185.67783,726.6045,254.98405,887.83093,977.2839,2542.2058,1355.5248,108.883575,948.7991,691.25995,492.5598,4832.5264,3092.6172,439.99042,671.9394,68.46571,1053.3987,244.90112,1105.1133,113.80064,1649.4769,301.70175,96.20734,2397.818,625.5694,3043.957,871.83575,222.311,1442.9905,860.63,253.27432,305.94418,1147.6013,77.545456,289.55023,A,VGP,non_tumor
11943.604,449.53732,401.13007,360.3305,681.8955,606.31555,2122.292,89.215355,1299.0491,1456.7505,1966.6013,1828.6354,941.37524,252.01279,907.50745,1001.3838,198.05544,1181.2815,143.67165,1182.7996,430.93817,2301.3752,7051.8125,1842.3795,451.68445,648.69086,71.614075,1441.4286,218.08316,1282.1471,126.96802,1708.0106,308.5309,101.89552,4606.6035,474.18976,2235.772,976.8721,180.51599,1713.1855,930.9723,260.7804,912.4371,2087.8784,113.411514,303.6759,A,VGP,non_tumor
22025.85,983.29095,452.54517,420.81165,1259.2588,1277.6708,5874.8745,80.91884,2328.6494,12303.499,975.7611,208.74426,1102.0796,356.13016,943.5804,1284.3645,3582.239,1350.5007,151.38438,2803.5789,3619.0076,1097.0552,5073.651,1779.5314,561.6968,872.5544,110.55743,1308.4656,330.11945,3897.8115,161.59877,1855.8362,368.4288,149.09189,9625.105,594.47473,3586.8193,1313.438,264.54672,2253.5513,1172.6462,299.02145,823.3155,3076.2097,111.25115,337.8836,A,VGP,non_tumor
7995.6143,739.83905,707.7965,2040.4237,887.1887,641.2747,2598.7725,7676.513,498.9112,371.82794,936.59576,189.12766,607.02496,221.52174,929.6929,804.9325,210.40611,1612.3876,4429.886,717.45886,73.52729,320.6901,992.5939,1038.9917,390.70584,441.61795,92.49399,869.59296,194.27104,125.442184,160.89268,309.29233,278.2553,107.72896,2214.8835,417.04254,1407.4819,852.0379,157.04718,1738.3774,901.3626,256.59668,1070.001,409.4801,84.290474,284.42462,A,normal,non_tumor
8343.102,1524,522.8994,1003.3704,931.25323,595.14557,1815.0118,3369.0828,487.49585,360.55148,757.3065,187.79053,607.76807,225.0497,935.31244,833.71716,194.40947,1400.7408,3116.155,742.1965,85.862724,330.15384,2043.7396,895.01776,396.4201,337.9373,77.49231,992.09705,243.68994,207.63313,148.96568,321.39172,279.13965,108.74674,2382.593,405.58698,1257.6793,845.84735,168.38461,1008.213,968.1219,263.67337,1082.5964,484.4651,85.65799,311.80356,A,precursor,non_tumor
8991.251,336.98935,289.74887,277.40335,598.2146,609.5967,771.2085,61.330288,464.0974,360.98477,723.87213,200.59056,608.27246,238.40791,870.1796,788.9559,162.21309,1059.3196,87.770164,801.9863,715.2435,398.96347,3763.793,963.37897,422.9254,450.69864,71.24201,619.1598,354.75342,330.49466,87.770164,437.94977,287.31354,88.88128,476.77017,437.895,2203.3926,827.16437,184.07611,973.71844,923.92084,248.51447,742.24963,506.44748,82.9239,300.55405,A,normal,non_tumor
7178.7603,697.54425,499.56155,952.108,838.88983,525.5162,1409.9719,1944.1533,555.68896,426.71274,859.7646,183.28726,739.5961,253.18791,904.9287,968.29156,196.15335,1281.9806,1585.6868,871.52484,102.82073,337.47733,593.69116,909.5594,426.4838,627.2052,75.084236,792.5184,215.22462,145.25053,97.22894,406.42764,352.5659,81.76458,1958.3975,455.83585,1907.9352,964.41034,181.11015,939.6436,1021.8877,282.5205,262.23975,324.30237,75.82722,274.34558,A,MIS,non_tumor
14887.175,727.861,533.0496,426.92056,798.72906,524.65533,1733.6199,223.04965,582.0851,586.6397,878.27374,1155.1588,798.6695,253.18015,884.661,1411.7759,196.28227,1246.946,288.0525,1002.2156,208.27092,5785.8115,12270.862,1735.8525,494.0922,677.4837,132.27943,1023.5149,237.06667,345.81845,136.74467,447.73334,312.53192,116.412766,4036.3843,571.3773,3158.78,974.0681,202.76454,1575.3079,955.29504,265.2454,518.52484,739.4865,83.08369,302.23688,A,VGP,non_tumor
